Day,Month,Year,Hour,Temp_C,Humidity_pct,Precipitation_mm,WindSpeed_kmh,CloudCover_pct,AtmosPressure_hPa,WeatherCondition
1,1,2020,0,22.4,92,0.4,6.9,100,1020.5,51
1,1,2020,3,22.5,94,1.2,8.4,100,1019.3,55
1,1,2020,6,22.7,95,0.3,8.6,100,1019.6,51
1,1,2020,9,24.0,90,0.5,12.5,99,1022.1,53
1,1,2020,12,24.9,83,0.3,16.9,97,1020.8,51
1,1,2020,15,24.6,82,0.4,16.6,92,1018.9,51
1,1,2020,18,23.0,92,0.4,10.3,92,1019.8,51
1,1,2020,21,22.8,92,0.2,11.1,49,1021.8,51
2,1,2020,0,22.7,92,0.2,9.6,47,1021.3,51
2,1,2020,3,21.9,96,0.2,4.0,100,1020.2,51
2,1,2020,6,21.7,96,0.2,4.6,83,1020.7,51
2,1,2020,9,24.0,87,0.5,11.6,89,1022.3,53
2,1,2020,12,24.5,82,0.1,13.2,98,1021.2,51
2,1,2020,15,23.9,85,0.5,15.7,100,1019.1,53
2,1,2020,18,22.6,92,0.5,12.6,100,1019.5,53
2,1,2020,21,22.6,92,0.5,9.4,100,1021.3,53
3,1,2020,0,22.5,93,0.1,7.2,97,1020.9,51
3,1,2020,3,22.5,88,0.2,3.6,97,1018.9,51
3,1,2020,6,21.5,96,1.1,2.6,100,1019.0,55
3,1,2020,9,24.3,82,0.6,12.4,44,1021.0,53
3,1,2020,12,25.5,74,0.3,15.8,49,1019.4,51
3,1,2020,15,25.0,76,0.0,14.2,54,1017.9,2
3,1,2020,18,22.5,92,0.0,4.2,62,1018.3,2
3,1,2020,21,22.1,97,0.3,2.3,55,1019.9,51
4,1,2020,0,21.5,97,0.1,3.6,68,1018.8,51
4,1,2020,3,20.9,97,0.0,6.0,88,1017.6,3
4,1,2020,6,20.5,97,0.1,5.8,97,1018.3,51
4,1,2020,9,23.0,87,0.1,3.6,96,1019.7,51
4,1,2020,12,25.5,63,0.0,13.2,75,1017.9,2
4,1,2020,15,24.9,68,0.0,11.9,96,1015.6,3
4,1,2020,18,21.5,90,0.0,7.3,92,1016.4,3
4,1,2020,21,22.6,80,0.0,1.3,98,1017.9,3
5,1,2020,0,21.2,94,0.1,3.1,97,1017.1,51
5,1,2020,3,19.9,94,0.0,4.7,48,1016.4,1
